id,location,date,color,shape
1,East Avenue,01/9-10/24,black,fiber
2,Ateneo,01/9-10/24,black,fragment
3,East Avenue,01/9-10/24,black,fiber
4,East Avenue,01/9-10/24,black,film
5,Ateneo,01/24-25/24,gold,fragment
6,East Avenue,01/24-25/24,black,fiber
7,East Avenue,01/24-25/24,black,fiber
8,East Avenue,01/24-25/24,black,fiber
9,East Avenue,01/24-25/24,black,fiber
10,Ateneo,01/24-25/24,green,film
11,East Avenue,01/24-25/24,black,fiber
12,Ateneo,01/24-25/24,gold,fragment
13,East Avenue,01/30-31/24,black,fiber
14,East Avenue,01/30-31/24,black,fiber
15,Ateneo,01/9-10/24,black,fiber
16,Ateneo,01/9-10/24,black,fiber
18,Ateneo,01/24-25/24,transparent,granule
19,Ateneo,01/30-31/24,black,fiber
20,East Avenue,01/24-25/24,transparent,granule
21,East Avenue,01/30-31/24,black,fiber
22,East Avenue,01/30-31/24,black,fiber
23,East Avenue,01/30-31/24,black,fiber
24,East Avenue,01/30-31/24,black,fiber
